file_id,reference,nuance,wer_nuance,genesys,wer_genesys,microsoft,wer_microsoft,microsoft_dlm,wer_microsoft_dlm
9140581227040000251_NajatS,"Non je l'attends par la poste [hésitation] moi je viens de payer 10 piasses [hésitation] je voudrais voir si c'est confirmé, si ça été payé je l'ai fait par Accès D là.",Non je l'attends par la poste moi je viens de payer 10 $ je voudrais savoir si c'est confirmé si ça été payé je l'ai fait par accéder là,0.085714285714286,non je l'attends par la poste moi je vais payer dix pièces euh je voudrais savoir si c'est confirmé si ça a été payé je l'ai fait par accéder là,0.171428571428571,"Non, je l'attends par la poste. Moi, je viens de payer 10 pièces. Je voudrais savoir si c'est confirmé, si ça a été payé, je l'ai fait par accéder là .",0.114285714285714,"Non, je l'attends par la poste. Moi, je viens de payer 10 piasses. Je voudrais savoir si c'est confirmé, si ça été payé, je l'ai fait par accéder là.",0.085714285714286
9140581227040000251_Anne,"Non je l'attends par la poste [hésitation] moi je viens de payer 10 piasses [hésitation] je voudrais voir si c'est confirmé, si ça été payé je l'ai fait par Accès D là.",Non je l'attends par la poste moi j'ai payé 10 $ je voudrais voir si c'est confirmé si ça été payé je l'ai fait par AccèsD là,0.171428571428571,vingt quatre non je l'attends par la poste euh moi j'ai payé dix pièces euh je voudrais voir si c'est confirmé si ça a été payé je l'ai fait accéder là,0.228571428571429,"Non, je l'attends par la poste. Moi j'aime payer 10 piastres. Je voudrais voir si c'est confirmé, si ça a été payé, je l'ai faite par accès d là .",0.171428571428571,"Non, je l'attends par la poste. Moi j'ai de payer 10 piasses. Je voudrais voir si c'est confirmé, si ça été payé. Je l'ai faite par accès d là.",0.085714285714286
9140581227040000251_Charles,"Non je l'attends par la poste [hésitation] moi je viens de payer 10 piasses [hésitation] je voudrais voir si c'est confirmé, si ça été payé je l'ai fait par Accès D là.",Non je l'attends par la poste moi je viens de payer 10 $ je voudrais avoir c'est confirmé si ça été payé je l'ai fait avec AccèsD là,0.142857142857143,vingt cinq non je l'attends par la poste moi je vais payer dix pièces euh je voudrais avoir ces confirmer si ça a été payé je l'ai fait avec accédé là,0.314285714285714,"Non, je l'attends par la poste. Moi j'ai payé 10 piastres, je voudrais voir si c'est confirmé, si ça a été payé, je l'ai fait avec accès d là .",0.2,"Non, je l'attends par la poste. Moi j'ai de payer 10 piasses. Je voudrais voir si c'est confirmé, si ça a été payé, je l'ai fait avec accès d là.",0.114285714285714
9140615705680000251_NaimaF,Euh oui bon ben euh j'ai attendu pas mal la dernière minute là euh je dois créer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée.,Oui bon ben j'ai attendu pas mal à dernière minute là je dois créer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée,0.05,euh oui bon ben euh j'ai attendu pas mal la dernière minute là je dois créer un nouveau compte en ligne parce que mon notre côté euh mon autre compte est fermé mon autre façon d'aller en ligne fermé,0.075,"Oui, bon Ben j'ai attendu pendant la dernière minute. Là  je dois créer un nouveau compte en ligne parce que mon autre côté. Mon autre compte est fermé, mon autre façon d'aller en ligne est fermée.",0.075,"Oui, bon Ben j'ai attendu pas mal la dernière minute. Là je dois créer un nouveau compte en ligne parce que mon autre côté. Mon autre compte est fermé, mon autre façon d'aller en ligne est fermée.",0.025
9140615705680000251_NajatS,Euh oui bon ben euh j'ai attendu pas mal la dernière minute là euh je dois créer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé mon autre façon d'aller en ligne est fermée.,Oui bon ben j'ai attendu pas mal la dernière minute là je dois créer un nouveau compte en ligne parce que mon côté mon autre compte est fermé mon façon de longue ligne fermer,0.2,deux euh oui bon ben j'ai attendu pas mal la dernière minute là euh je dois créer un nouveau compte en ligne parce que mon autre côté on notre compte est fermée mais en doute façon d'ars en ligne fermé,0.225,"Oui, bon Ben j'ai attendu pas mal la dernière minute. Là  je dois créer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé. Mon autre façon d'aller en ligne est fermée.",0.025,"Oui, bon Ben j'ai attendu pas mal la dernière minute. Là je dois créer un nouveau compte en ligne parce que mon autre côté mon autre compte est fermé. Mon autre façon d'aller en ligne est fermée.",0.025
9140617105160000251_AwaS,Oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.,Oui écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque bla-bla-bla en ligne avait été interrompue pis on m'a dit appeler numéro que j'ai déjà signalé et auquel vous répondez,0.119047619047619,trois oui euh écoutez j'appelle parce qu'on m'a dit que maligne avait avec ma banque blablabla en ligne avait été interrompus et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,0.071428571428572,"Oui, écoutez, j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque bla bla bla en ligne avait été interrompu et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.071428571428572,"Oui, écoutez, j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque, bla-bla-bla. En ligne, avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.047619047619048
9140617105160000251_Charles,Oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.,Oui écoutez j'appelle parce qu'on m'a dit que ma ligne avec ma banque en ligne avait été interrompue pis on m'a dit d'appeler au numéro que j'ai déjà signalé qu'elle vous répondez,0.095238095238095,que oui euh écoutez j'appelle parce qu'on m'a dit que la ligne avec ma banque en ligne avait été interrompu et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez,0.095238095238095,"Oui, écoutez, j'appelle parce qu'on m'a dit que ma ligne avec ma banque en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.023809523809524,"Oui, écoutez, j'appelle parce qu'on m'a dit que ma ligne avec ma banque en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.023809523809524
9140617105160000251_NaimaF,Oui [hésitation] écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque [mot] en ligne avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.,Écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque en ligne avait été interrompue pis on m'a dit d'appeler au numéro que j'ai déjà signalé qu'elle vous répondez,0.095238095238095,bin euh écoutez j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque que en ligne avait été interrompu et on m'a dit d'appeler au que j'ai déjà signalé et auquel vous répondez,0.071428571428572,"Écoutez, j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque en ligne, avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.023809523809524,"Écoutez, j'appelle parce qu'on m'a dit que ma ligne avait avec ma banque en ligne, avait été interrompue et on m'a dit d'appeler au numéro que j'ai déjà signalé et auquel vous répondez.",0.023809523809524
9140639978890000251_Anne,Oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais euh créer mon compte en ligne pour euh en fait ma compagnie de gestion.,Oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion,0,oui bonjour monsieur j'appelle pour un renseignement en puis j'aimerais euh créer mon compte en ligne pour euh en fait ma compagnie de question,0.083333333333333,"Oui, Bonjour Monsieur, j'appelle pour un renseignement. En fait, j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion.",0,"Oui, Bonjour Monsieur, j'appelle pour un renseignement. En fait, j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion.",0
9140639978890000251_NaimaF,Oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais euh créer mon compte en ligne pour euh en fait ma compagnie de gestion.,Oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion,0,et oui bonjour monsieur j'appelle pour un renseignement en fait j'aimerais euh créer mon compte en ligne pour euh en fait ma compagnie de gestion,0.041666666666667,"Oui, Bonjour Monsieur, j'appelle pour un renseignement. En fait, j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion.",0,"Oui, Bonjour Monsieur, j'appelle pour un renseignement. En fait, j'aimerais créer mon compte en ligne pour en fait ma compagnie de gestion.",0
9140642108800000251_Charles,[hésitation] Moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la Banque Nationale là et pour payer transférer puis envoyer des sous là ça marche pas.,Moi j'ai un problème je voudrais je sais pas si ça ça fonctionne pas je me suis connecté à la Banque Nationale là pour payer transférer pis envoyer des sous là ça marche pas,0.078947368421053,huit euh moi j'ai un problème je voudrais je sais pas euh si ça ça fonctionne pas euh je me suis connecté à la banque sale et pour payer transférer puis envoyer des sous là ça marche pas,0.078947368421053,"Moi j'ai un problème, je voudrais, je sais pas si ça ça fonctionne pas. Je me suis connecté à  la Banque nationale là  et pour payer, transférer puis envoyer des sous la ça marche pas.",0.052631578947369,"Moi j'ai un problème, je voudrais, je sais pas si ça ça fonctionne pas. Je me suis connecté à la Banque nationale là et pour payer, transférer puis envoyer des sous là ça marche pas.",0.026315789473684
9140642108800000251_NaimaF,[hésitation] Moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la Banque Nationale là et pour payer transférer puis envoyer des sous là ça marche pas.,Moi j'ai un problème je voudrais juste c'est pas ça ça fonctionne pas je suis connecté à la Banque Nationale là pour payer transférer puis envoyer des sous là ça marche pas,0.157894736842105,neuf euh moi j'ai un problème je voudrais je sais ah h ça fonctionne pas euh je connecté à la banque nationale là et pour te transférer puis envoyer des sous là ça marche pas,0.157894736842105,"Moi j'ai un problème, je voudrais, je sais pas ça, ça fonctionne pas. Je me suis connectée à  la Banque nationale la. Et pour payer, transférer puis envoyer des sous la ça marche pas.",0.052631578947369,"Moi j'ai un problème, je voudrais, je sais pas ça, ça fonctionne pas. Je me suis connecté à la Banque nationale là. Et pour payer, transférer puis envoyer des sous, là ça marche pas.",0.026315789473684
9140642108800000251_NajatS,[hésitation] Moi j'ai un problème je voudrais je sais pas [hésitation] ça ça fonctionne pas [hésitation] je me suis connectée à la Banque Nationale là et pour payer transférer puis envoyer des sous là ça marche pas.,Moi j'ai un problème je voudrais je sais pas ça ça fonctionne pas je me suis connecté à la Banque Nationale là pour payer transférer puis envoyer des sous là ça marche pas,0.052631578947369,ou euh moi j'ai un problème je voudrais je sais pas euh ça ça fonctionne pas euh je me suis connecté à la banque nationale là et pour payer transférer puis envoyé c'est sous là ça marche pas,0.105263157894737,"Moi j'ai un problème, je voudrais, je sais pas ça, ça fonctionne pas. Je me suis connectée à  la Banque nationale la et pour payer, transférer, puis on voyait des sous, là  ça marche pas.",0.078947368421053,"Moi j'ai un problème, je voudrais, je sais pas ça, ça fonctionne pas. Je me suis connecté à la Banque nationale là et pour payer, transférer puis envoyer des sous, là ça marche pas.",0.026315789473684
9140642703570000251_Charles,Parce que je suis perdu mon carte.,Parce que je suis perdu mon carte,0,un parce que je suis perdu mon car,0.142857142857143,Parce que je suis perdu mon carte.,0,Parce que je suis perdu mon carte.,0
9140642703570000251_rima,Parce que je suis perdu mon carte.,Parce que je suis perdu mon carte,0,douze parce que je suis perdu mon carte,0,Parce que je suis perdue mon carte?,0.285714285714286,Parce que je suis perdu mon carte.,0
